"State","hitdiffs","date_end","anxdiffs"
"ID",-1,2020-06-21,0.68218853786439
"ID",19,2020-06-28,-0.14915609852384
"ID",4,2020-07-05,-0.539444258345098
"ID",3,2020-07-12,0.171106490260613
"ID",-3,2020-07-19,1.00725531556045
"ID",3,2020-07-26,0.1757273246618
"ID",5,2020-08-02,-0.24716293484238
"ID",-24,2020-08-09,-0.24716293484239
"ID",0,2020-08-16,-0.24716293484238
"ID",-2,2020-08-23,-0.247162934842389
"ID",-7,2020-08-30,-0.247162934842386
"ID",10,2020-09-06,0.045561447896891
"ID",3,2020-09-13,0.094348845020104
"ID",-16,2020-09-20,0.00166915224096897
"ID",19,2020-09-27,-0.01377746322222
"ID",-7,2020-10-04,-0.0354368583996261
"ID",1,2020-10-11,-0.03904675759586
"ID",1,2020-10-18,0.160366576502027
"ID",3,2020-10-25,0.19360213218501
"ID",-3,2020-11-01,0.15798435934271
"ID",0,2020-11-08,0.152048063869
"ID",-11,2020-11-15,-0.3221298755406
"ID",11,2020-11-22,-0.40115953210887
"ID",2,2020-11-29,0.132856629079647
"ID",2,2020-12-06,0.221859322611063
"ID",1,2020-12-13,0.06236587474227
"ID",-5,2020-12-20,0.0357836334308101
"ID",-2,2020-12-27,-0.0949390428625101
"ID",1,2021-01-03,-0.116726155578057
"ID",-3,2021-01-10,-0.116726155578058
"ID",-1,2021-01-17,-0.116726155578058
"ID",-3,2021-01-24,0.017282565750443
"ID",3,2021-01-31,0.0396173526385281
"ID",10,2021-02-07,-0.102687766204192
"ID",-13,2021-02-14,-0.126405286011313
"ID",-12,2021-02-21,0.095059752627676
"ID",1,2021-02-28,0.131970592400841
"ID",-3,2021-03-07,0.228936286600791
"ID",12,2021-03-14,0.245097235634119
"ID",-6,2021-03-21,-0.332275391978513
"ID",5,2021-03-28,-0.42850416324728
"IL",-4,2020-05-17,-0.14900603152295
"IL",-7,2020-05-24,-0.217165716448253
"IL",-6,2020-05-31,0.03779009921018
"IL",-7,2020-06-07,-0.054163937281582
"IL",-6,2020-06-14,-0.147929743563058
"IL",-9,2020-06-21,0.03914679924148
"IL",11,2020-06-28,-0.103461593077202
"IL",1,2020-07-05,0.340359849833551
"IL",5,2020-07-12,-0.126735510826141
"IL",-4,2020-07-19,-0.0137916803667739
"IL",8,2020-07-26,0.041632023048376
"IL",9,2020-08-02,0.00220301589654992
"IL",-20,2020-08-09,0.00220301589655103
"IL",-5,2020-08-16,0.00220301589655003
"IL",2,2020-08-23,0.00220301589655003
"IL",-2,2020-08-30,0.00220301589654992
"IL",9,2020-09-06,-7.29183084509089e-05
"IL",0,2020-09-13,-0.000452240675950066
"IL",-11,2020-09-20,-0.106366132999447
"IL",6,2020-09-27,-0.124018448386696
"IL",-4,2020-10-04,0.061967392504179
"IL",-1,2020-10-11,0.092965032652657
"IL",3,2020-10-18,-0.023225086699317
